BATUBARA,BIOMASSA,BEBAN,APH A_IN_FLUE_GAS_O2,APH_B_IN_FLUE_GAS_O2_1,SO2
8157841,0,457.7535779,4.645763339,3.819548654,465.43
4989968,24580,297.8849713,7.870782727,6.938048404,356.46
5904722,8190,362.5900898,6.288025321,5.782453489,359.63
7611486,45440,496.4904804,3.293068746,3.322109965,524.82
7264812,16770,458.7233013,3.338408374,3.249105164,547.94
7024554,16190,429.8682993,4.134557985,4.175316759,455.07
7862649,17110,496.1042852,3.447086085,3.824614399,378.3491667
7085716,22580,417.6706575,4.56328354,4.591787283,203.4016667
6790049,0,378.8712182,5.016505028,4.963344704,147.2491667
7145570,0,430.6394053,4.238241318,4.220085963,56.99166667
8129943,0,469.2281578,3.681169395,3.569808572,173.8191667
7315609,71810,454.8534773,3.594780608,3.622182574,379.5654167
7742167,21250,471.2870126,3.749481515,4.075346232,345.3566667
8076664,71270,513.3751809,2.917180288,3.461378847,535.3525
7938057,65170,518.2519258,2.80245812,3.341863093,496.91125
7948961,90340,502.2109381,2.937994192,3.152605533,336.47
8434448,174600,490.8245916,3.491814575,4.372879318,445.6945833
7733850,119480,458.9850145,3.604719305,4.156272425,421.8595833
6028710,187640,345.4332382,5.451342261,5.649171476,351.2320833
3721405,199330,203.7680937,8.983475877,8.531775887,194.9925
8076223,0,470.9208868,3.401650012,3.562652001,547.5875
8416378,5070,502.5549147,2.54930761,3.394469734,546.9375
7483239,0,480.4314564,3.146512656,2.864273115,514.07875
5712767,0,358.7938352,4.924431103,4.380970927,525.8045833
6412410,0,382.211759,4.805209127,4.121755538,537.04375
5950504,0,359.6307799,5.300710492,4.924166415,56.99166667
5764538,0,358.7646747,5.199505884,4.921979994,386.9179167
6018009,0,360.4488515,5.170179462,5.029033608,448.3895833
6434249,0,353.9912114,5.125925834,5.299361389,416.8708333
6542763,0,375.0009346,4.828748623,4.820761246,484.3341667
7273061,0,419.3173954,4.366414562,4.201933714,442.60625
6768476,0,423.7648001,4.083245246,3.237605281,42.03
7287198,0,442.3416419,3.929376546,3.515374065,61.52
7923086,59790,507.4999604,2.862322767,2.613961043,224.25
8245472,18220,514.8318688,3.0315902,3.10945884,477.16
8329456,24630,515.3133636,2.852444968,3.179166857,479.73
8093466,22140,505.772043,2.968116928,3.153888182,447.8
8115076,67590,508.1101569,2.815255917,3.155449444,400.75
4155572,33650,259.8163851,7.217574322,7.043320127,237.81
7964036,35550,502.0246778,2.626978066,3.313278616,423.99
8219962,113470,512.725272,2.518161418,3.129649699,432.49
8240142,5790,503.9846967,2.826717962,3.24035477,456.77
7363424,29860,429.49866,3.659966408,3.653467961,465.47
8276699,63580,481.5154402,3.47951798,3.852925498,296.56
8200139,97550,510.8585857,2.595231311,3.401975546,499.11
8245170,13800,466.8515023,3.710100288,3.960269328,434.45
7584433,63070,400.4405536,4.705779245,4.833683228,415.79
7356271,5660,407.3964392,4.190724867,4.583235785,449.37
7453162,0,481.8988405,3.273912425,3.47131237,237.28
6628077,56870,381.7439675,5.242440316,5.452587255,245.53
7623918,37790,458.8670226,3.296038076,4.038837794,267.1
8072920,0,505.7401989,2.746255999,3.27005615,296.43
7950881,78810,488.8049282,3.004167319,3.679216878,200
7721792,5170,441.116196,4.285237653,4.544714828,215.7
7635565,39760,436.3940179,4.352079966,4.129787097,150.67
6950546,50670,414.645834,4.443360178,4.428554607,131.79
7441115,6480,381.3065897,5.241917412,5.091047988,9.12
7575268,29210,435.0304897,4.316546766,4.146043755,80.22
6589523,86140,413.4405455,3.778644465,4.183616413,141.99
6882463,37840,406.0657001,4.127623349,4.417156692,187.15
7681279,39150,425.8048275,4.471729324,4.492011717,187.09
